,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
1166,K2-203 b,545,2.45 Earths,12.353,2018,Super Earth,2.45 Earths,1.371 x Earth,Unknown,9.7 days,0,K2-203,Transit,,50,-50,0.03,0,0.76,0.03,-0.02,15-02-2018,K2
1167,K2-204 b,1914,9.51 Earths,13.01,2018,Neptune-like,9.51 Earths,0.272 x Jupiter,Unknown,7.1 days,0,K2-204,Transit,,50,-50,0.03,0,1.18,0.16,-0.14,15-02-2018,K2
1168,K2-205 b,1337,4.64 Earths,12.391,2018,Super Earth,4.64 Earths,1.996 x Earth,Unknown,26.7 days,0,K2-205,Transit,,50,-50,0.04,0,1.08,0.13,-0.11,15-02-2018,K2
1169,K2-206 b,803,8.22 Earths,13.1,2018,Neptune-like,8.22 Earths,0.249 x Jupiter,Unknown,18.3 days,0,K2-206,Transit,,50,-50,0.03,0,0.76,0.03,-0.03,15-02-2018,K2
1170,K2-207 b,1197,7.3 Earths,13.166,2018,Neptune-like,7.3 Earths,0.232 x Jupiter,Unknown,12.5 days,0,K2-207,Transit,,50,-50,0.03,0,0.93,0.09,-0.05,15-02-2018,K2
1171,K2-208 b,844,3.46 Earths,12.503,2018,Super Earth,3.46 Earths,1.679 x Earth,Unknown,4.2 days,0,K2-208,Transit,,50,-50,0.03,0,0.86,0.03,-0.03,15-02-2018,K2
1172,K2-209 b,250,0.586 Earths,11.205,2018,Terrestrial,0.586 Earths,0.869 x Earth,Unknown,2.1 days,0,K2-209,Transit,,50,-50,0.03,0,0.71,0.02,-0.02,15-02-2018,K2
1173,K2-210 b,579,0.474 Earths,11.535,2018,Terrestrial,0.474 Earths,0.819 x Earth,Unknown,0.6 days,0,K2-21,Transit,,88.15,-84.41,0.07,0,0.65,0.03,-0.03,26-10-2017,K2
1174,K2-211 b,895,2.46 Earths,13.075,2018,Super Earth,2.46 Earths,1.375 x Earth,Unknown,0.7 days,0,K2-21,Transit,,88.15,-84.41,0.07,0,0.65,0.03,-0.03,26-10-2017,K2
1175,K2-212 b,357,6.9 Earths,13.1,2018,Neptune-like,6.9 Earths,0.225 x Jupiter,0.0785 AU,9.8 days,0,K2-210,Transit,,50,-50,0.02,0,0.85,0.04,-0.03,15-02-2018,K2
1176,K2-213 b,1285,2.9 Earths,11.803,2018,Super Earth,2.9 Earths,1.514 x Earth,Unknown,8.1 days,0,K2-211,Transit,,50,-50,0.02,0,0.82,0.03,-0.02,15-02-2018,K2
1177,K2-214 b,989,6.48 Earths,11.805,2018,Neptune-like,6.48 Earths,0.217 x Jupiter,0.0834 AU,8.6 days,0,K2-212,Transit,,38,-38,0.02,0,0.65,0.01,-0.01,26-10-2018,K2
1178,K2-215 b,1333,5.16 Earths,12.986,2018,Neptune-like,5.16 Earths,2.124 x Earth,Unknown,8.3 days,0,K2-213,Transit,,50,-50,0.06,0,1.2,0.17,-0.13,15-02-2018,K2
1179,K2-216 b,378,8 Earths,12.476,2018,Super Earth,8 Earths,1.75 x Earth,0.028 AU,2.2 days,0,K2-214,Transit,,85,-85,0.03,0,1.27,0.02,-0.02,26-10-2018,K2
1180,K2-217 b,1259,12.5 Earths,12.187,2018,Neptune-like,12.5 Earths,0.319 x Jupiter,Unknown,14.1 days,0,K2-215,Transit,,50,-50,0.03,0,0.97,0.09,-0.05,15-02-2018,K2
1181,K2-218 b,1300,7.13 Earths,12.876,2018,Neptune-like,7.13 Earths,0.229 x Jupiter,Unknown,8.7 days,0,K2-216,Transit,-2.2,69,-69,0.03,0,0.72,0.03,-0.03,01-11-2018,K2
1182,K2-219 b,1071,2.38 Earths,12.09,2018,Super Earth,2.38 Earths,1.348 x Earth,Unknown,3.9 days,0,K2-217,Transit,,50,-50,0.05,0,1.33,0.2,-0.17,15-02-2018,K2
1183,K2-219 c,1071,2.66 Earths,12.09,2018,Super Earth,2.66 Earths,1.438 x Earth,Unknown,6.7 days,0,K2-218,Transit,,50,-50,0.03,0,1.01,0.08,-0.05,15-02-2018,K2
1184,K2-219 d,1071,7.16 Earths,12.09,2018,Neptune-like,7.16 Earths,0.23 x Jupiter,Unknown,11.1 days,0,K2-219,Transit,,50,-50,0.03,0,1.19,0.16,-0.14,15-02-2018,K2
1185,K2-21 b,274,4.04 Earths,12.85,2015,Neptune-like,4.04 Earths,1.84 x Earth,0.076 AU,9.3 days,0.1,K2-219,Transit,,50,-50,0.03,0,1.19,0.16,-0.14,15-02-2018,K2
1186,K2-21 c,274,6.76 Earths,12.85,2015,Super Earth,6.76 Earths,0.222 x Jupiter,0.107 AU,15.5 days,0.21,K2-219,Transit,,50,-50,0.03,0,1.19,0.16,-0.14,15-02-2018,K2
1187,K2-220 b,766,6.3 Earths,11.89,2018,Neptune-like,6.3 Earths,0.213 x Jupiter,0.1104 AU,13.7 days,0,K2-22,Transit,,100,-100,0.07,0,0.57,0.06,-0.06,15-10-2015,K2
1188,K2-221 b,1049,3.46 Earths,12.703,2018,Super Earth,3.46 Earths,1.679 x Earth,Unknown,2.4 days,0,K2-220,Transit,,92,-92,0.04,0,1.02,0.02,-0.02,26-10-2018,K2
1189,K2-222 b,331,6.3 Earths,9.543,2018,Neptune-like,6.3 Earths,0.213 x Jupiter,0.1211 AU,15.4 days,0,K2-221,Transit,,50,-50,0.02,0,0.95,0.04,-0.03,15-02-2018,K2
1190,K2-223 b,656,0.64 Earths,11.431,2018,Terrestrial,0.64 Earths,0.89 x Earth,0.0127 AU,0.5 days,0,K2-222,Transit,,89,-89,0.04,0,1.09,0.02,-0.02,26-10-2018,K2
1191,K2-223 c,656,3.09 Earths,11.431,2018,Super Earth,3.09 Earths,1.57 x Earth,0.0549 AU,4.6 days,0,K2-223,Transit,,38,-40,0.02,0,0.99,0.01,-0.01,12-07-2018,K2
1192,K2-224 b,906,3.05 Earths,12.682,2018,Super Earth,3.05 Earths,1.56 x Earth,0.0516 AU,4.5 days,0,K2-223,Transit,,38,-40,0.02,0,0.99,0.01,-0.01,12-07-2018,K2
1193,K2-224 c,906,6.39 Earths,12.682,2018,Neptune-like,6.39 Earths,0.215 x Jupiter,0.0886 AU,10.1 days,0,K2-224,Transit,,42,-45,0.02,0,0.84,0.01,-0.01,12-07-2018,K2
1194,K2-225 b,1175,12 Earths,11.836,2018,Neptune-like,12 Earths,0.311 x Jupiter,0.134 AU,15.9 days,0,K2-224,Transit,,42,-45,0.02,0,0.84,0.01,-0.01,12-07-2018,K2
1195,K2-226 b,689,2.99 Earths,12.308,2018,Super Earth,2.99 Earths,1.54 x Earth,0.0413 AU,3.3 days,0,K2-225,Transit,,49,-47,0.02,0,1.7,0.04,-0.04,12-07-2018,K2
1196,K2-227 b,614,3.41 Earths,12.015,2018,Super Earth,3.41 Earths,1.666 x Earth,Unknown,13.6 days,0,K2-226,Transit,,48,-46,0.03,0,0.91,0.02,-0.02,12-07-2018,K2
1197,K2-228 b,465,1.92 Earths,12.995,2018,Super Earth,1.92 Earths,1.21 x Earth,0.0338 AU,2.7 days,0,K2-227,Transit,,50,-50,0.03,0,0.89,0.04,-0.03,15-02-2018,K2
1198,K2-229 b,339,2.49 Earths,10.985,2018,Super Earth,2.49 Earths,1.14 x Earth,0.0131 AU,0.6 days,0,K2-228,Transit,,48,-46,0.02,0,0.65,0.01,-0.01,12-07-2018,K2
1199,K2-229 c,339,21.3 Earths,10.985,2018,Super Earth,21.3 Earths,2.03 x Earth,0.0769 AU,8.3 days,0,K2-229,Transit,,35,-31,0.01,0,0.79,0.01,-0.01,12-07-2018,K2
1200,K2-223 b,656,0.64 Earths,11.431,2018,Terrestrial,0.64 Earths,0.89 x Earth,0.0127 AU,0.5 days,0,K2-229,Transit,,35,-31,0.01,0,0.79,0.01,-0.01,12-07-2018,K2
1201,K2-223 c,656,3.09 Earths,11.431,2018,Super Earth,3.09 Earths,1.57 x Earth,0.0549 AU,4.6 days,0,K2-230,Transit,,23,-25,0.02,0,1.39,0.04,-0.04,12-07-2018,K2
1202,K2-224 b,906,3.05 Earths,12.682,2018,Super Earth,3.05 Earths,1.56 x Earth,0.0516 AU,4.5 days,0,K2-231,Transit,,50,-50,0.03,0,0.95,0.03,-0.03,05-04-2018,K2
1203,K2-224 c,906,6.39 Earths,12.682,2018,Neptune-like,6.39 Earths,0.215 x Jupiter,0.0886 AU,10.1 days,0,K2-232,Transit,,60,-60,0.03,0,1.16,0.02,-0.02,05-04-2018,K2
1204,K2-225 b,1175,12 Earths,11.836,2018,Neptune-like,12 Earths,0.311 x Jupiter,0.134 AU,15.9 days,0,K2-233,Transit,,100,-100,0.03,0,0.74,0.03,-0.03,26-04-2018,K2
1205,K2-226 b,689,2.99 Earths,12.308,2018,Super Earth,2.99 Earths,1.54 x Earth,0.0413 AU,3.3 days,0,K2-233,Transit,,100,-100,0.03,0,0.74,0.03,-0.03,26-04-2018,K2
1206,K2-227 b,614,3.41 Earths,12.015,2018,Super Earth,3.41 Earths,1.666 x Earth,Unknown,13.6 days,0,K2-233,Transit,,100,-100,0.03,0,0.74,0.03,-0.03,26-04-2018,K2
1207,K2-228 b,465,1.92 Earths,12.995,2018,Super Earth,1.92 Earths,1.21 x Earth,0.0338 AU,2.7 days,0,K2-237,Transit,-0.036,110,-110,0.05,0,1.38,0.04,-0.04,23-05-2019,K2
1208,K2-229 b,339,2.49 Earths,10.985,2018,Super Earth,2.49 Earths,1.14 x Earth,0.0131 AU,0.6 days,0,K2-238,Transit,-0.16,78,-78,0.08,0,1.59,0.16,-0.16,21-06-2018,K2
1209,K2-229 c,339,21.3 Earths,10.985,2018,Super Earth,21.3 Earths,2.03 x Earth,0.0769 AU,8.3 days,0,K2-239,Transit,,18,-18,0.01,0,0.36,0.01,-0.01,21-06-2018,K2
1210,K2-239 c,160,0.972 Earths,14.549,2018,Terrestrial,0.972 Earths,1.0 x Earth,0.0576 AU,7.8 days,0,K2-239,Transit,,18,-18,0.01,0,0.36,0.01,-0.01,21-06-2018,K2
1211,K2-239 d,160,1.37 Earths,14.549,2018,Super Earth,1.37 Earths,1.1 x Earth,0.0685 AU,10.1 days,0,K2-239,Transit,,18,-18,0.01,0,0.36,0.01,-0.01,21-06-2018,K2
1212,K2-240 b,228,4.66 Earths,13.392,2018,Super Earth,4.66 Earths,2.0 x Earth,0.0513 AU,6 days,0,K2-24,Transit,-0.1,60,-60,0.06,0,1.16,0.04,-0.04,13-12-2018,K2
1213,K2-240 c,228,3.89 Earths,13.392,2018,Super Earth,3.89 Earths,1.8 x Earth,0.1159 AU,20.5 days,0,K2-24,Transit,-0.03,60,-60,0.06,0,1.16,0.04,-0.04,13-12-2018,K2
1214,K2-241 b,488,7.04 Earths,11.97,2018,Neptune-like,7.04 Earths,0.227 x Jupiter,0.1567 AU,26.8 days,0,K2-240,Transit,,17,-17,0.01,0,0.54,0.01,-0.01,21-06-2018,K2
1215,K2-242 b,358,6.99 Earths,16.588,2018,Neptune-like,6.99 Earths,0.227 x Jupiter,0.0494 AU,6.5 days,0,K2-240,Transit,,17,-17,0.01,0,0.54,0.01,-0.01,21-06-2018,K2
1216,K2-243 b,878,5.35 Earths,10.97,2018,Neptune-like,5.35 Earths,2.17 x Earth,0.1087 AU,11.5 days,0,K2-241,Transit,,43,-39,0.01,0,0.75,0.01,-0.01,12-07-2018,K2
1217,K2-243 c,878,4.7 Earths,10.97,2018,Super Earth,4.7 Earths,2.01 x Earth,0.1817 AU,24.9 days,0,K2-242,Transit,,65,-38,0.01,0,0.37,0.01,-0.01,12-07-2018,K2
1218,K2-244 b,698,3.71 Earths,11.78,2018,Super Earth,3.71 Earths,1.75 x Earth,0.1418 AU,21.1 days,0,K2-243,Transit,,269,-171,0.04,0,1.39,0.03,-0.03,12-07-2018,K2
1219,K2-245 b,1512,17.4 Earths,12.212,2018,Neptune-like,17.4 Earths,0.387 x Jupiter,0.0959 AU,11.9 days,0,K2-243,Transit,,269,-171,0.04,0,1.39,0.03,-0.03,12-07-2018,K2
1220,K2-246 b,2359,12 Earths,14.55,2018,Neptune-like,12 Earths,0.311 x Jupiter,0.0602 AU,5.8 days,0,K2-244,Transit,,38,-39,0.02,0,0.92,0.02,-0.01,12-07-2018,K2
1221,K2-247 b,849,5.14 Earths,14.956,2018,Neptune-like,5.14 Earths,2.12 x Earth,0.0304 AU,2.3 days,0,K2-245,Transit,,66,-52,0.02,0,1.25,0.03,-0.03,12-07-2018,K2
1222,K2-247 c,849,5.43 Earths,14.956,2018,Neptune-like,5.43 Earths,2.19 x Earth,0.0615 AU,6.5 days,0,K2-246,Transit,,32,-29,0.02,0,0.94,0.03,-0.03,12-07-2018,K2
1223,K2-248 b,1339,7.13 Earths,13.402,2018,Neptune-like,7.13 Earths,0.229 x Jupiter,0.0699 AU,7.2 days,0,K2-247,Transit,,305,-183,0.03,0,0.69,0.02,-0.01,12-07-2018,K2
1224,K2-249 b,1723,8.2 Earths,11.827,2018,Neptune-like,8.2 Earths,0.249 x Jupiter,0.1151 AU,12.4 days,0,K2-247,Transit,,305,-183,0.03,0,0.69,0.02,-0.01,12-07-2018,K2
1225,K2-24 b,559,19 Earths,11.07,2016,Neptune-like,19 Earths,0.482 x Jupiter,0.154 AU,20.9 days,0.06,K2-248,Transit,,97,-86,0.04,0,0.92,0.02,-0.02,12-07-2018,K2
1226,K2-24 c,559,15.4 Earths,11.07,2016,Neptune-like,15.4 Earths,0.669 x Jupiter,0.247 AU,42.3 days,< 0.07,K2-249,Transit,,329,-419,0.09,0,1.57,0.06,-0.06,12-07-2018,K2
1227,K2-250 b,1362,6.53 Earths,14.267,2018,Neptune-like,6.53 Earths,0.218 x Jupiter,0.0459 AU,4 days,0,K2-25,Transit,,60,-60,0.02,0,0.29,0.02,-0.02,28-09-2017,K2
1228,K2-251 b,482,6.12 Earths,15.621,2018,Neptune-like,6.12 Earths,0.21 x Jupiter,0.0694 AU,9.3 days,0,K2-250,Transit,,46,-44,0.03,0,0.81,0.02,-0.02,12-07-2018,K2
1229,K2-252 b,750,3.68 Earths,12.847,2018,Super Earth,3.68 Earths,1.74 x Earth,0.1041 AU,13.8 days,0,K2-251,Transit,,85,-50,0.01,0,0.49,0.01,-0.01,12-07-2018,K2
1230,K2-253 b,2942,Unknown,14.868,2018,Gas Giant,Unknown,1.13 x Jupiter,0.0506 AU,4 days,0,K2-252,Transit,,41,-39,0.02,0,0.82,0.01,-0.01,12-07-2018,K2
1231,K2-254 b,748,3.29 Earths,14.183,2018,Super Earth,3.29 Earths,1.63 x Earth,0.0448 AU,4.1 days,0,K2-253,Transit,,221,-240,0.05,0,1.1,0.04,-0.04,12-07-2018,K2
1232,K2-254 c,748,5.43 Earths,14.183,2018,Neptune-like,5.43 Earths,2.19 x Earth,0.0923 AU,12.1 days,0,K2-254,Transit,,168,-123,0.02,0,0.67,0.01,-0.01,12-07-2018,K2
1233,K2-255 b,628,8.75 Earths,13.756,2018,Neptune-like,8.75 Earths,0.259 x Jupiter,0.0274 AU,2 days,0,K2-254,Transit,,168,-123,0.02,0,0.67,0.01,-0.01,12-07-2018,K2
1234,K2-256 b,1894,7.41 Earths,14.939,2018,Neptune-like,7.41 Earths,0.235 x Jupiter,0.0578 AU,5.5 days,0,K2-255,Transit,,63,-61,0.03,0,0.69,0.01,-0.01,12-07-2018,K2
1235,K2-257 b,209,0.498 Earths,13.716,2018,Terrestrial,0.498 Earths,0.83 x Earth,0.0216 AU,1.6 days,0,K2-256,Transit,,179,-136,0.03,0,0.78,0.02,-0.02,12-07-2018,K2
1236,K2-258 b,2203,9.27 Earths,13.298,2018,Neptune-like,9.27 Earths,0.268 x Jupiter,0.149 AU,19.1 days,0,K2-257,Transit,,80,-46,0.01,0,0.5,0.01,-0.01,12-07-2018,K2
1237,K2-259 b,1377,5.99 Earths,12.536,2018,Neptune-like,5.99 Earths,0.207 x Jupiter,0.1271 AU,15.5 days,0,K2-258,Transit,,198,-228,0.05,0,1.31,0.03,-0.03,12-07-2018,K2
1238,K2-25 b,147,11.6 Earths,15.881,2015,Neptune-like,11.6 Earths,0.306 x Jupiter,Unknown,3.5 days,0.27,K2-259,Transit,,62,-76,0.03,0,1.13,0.03,-0.02,12-07-2018,K2
1239,K2-260 b,2206,1.42 Jupiters,12.689,2018,Gas Giant,1.42 Jupiters,1.552 x Jupiter,0.0404 AU,2.6 days,0,K2-26,Transit,,185,-185,0.1,0,0.52,0.08,-0.08,21-01-2016,K2
1240,K2-261 b,700,0.223 Jupiters,10.612,2018,Gas Giant,0.223 Jupiters,0.85 x Jupiter,0.102 AU,11.6 days,0.39,K2-260,Transit,-0.12,250,-250,0.05,0,1.69,0.03,-0.03,16-08-2018,K2
1241,K2-263 b,532,14.8 Earths,11.606,2018,Super Earth,14.8 Earths,0.215 x Jupiter,0.2573 AU,50.8 days,< 0.14,K2-261,Transit,-0.081,71,-71,0.01,0,1.65,0.04,-0.04,16-08-2018,K2
1242,K2-264 b,610,5.61 Earths,15.662,2018,Neptune-like,5.61 Earths,2.231 x Earth,0.05023 AU,5.8 days,< 0.5,K2-263,Transit,-1.4,44,-44,0.03,0,0.85,0.02,-0.02,27-09-2018,K2
1243,K2-264 c,610,7.6 Earths,15.662,2018,Neptune-like,7.6 Earths,0.238 x Jupiter,0.11283 AU,19.7 days,< 0.45,K2-264,Transit,,80,-45,0.01,0,0.47,0.01,-0.01,07-02-2019,K2
1244,K2-265 b,454,6.54 Earths,11.102,2018,Super Earth,6.54 Earths,1.71 x Earth,0.03376 AU,2.4 days,0.08,K2-264,Transit,,80,-45,0.01,0,0.47,0.01,-0.01,07-02-2019,K2
1245,K2-266 b,252,11.26782 Earths,11.808,2018,Neptune-like,11.26782 Earths,0.294 x Jupiter,0.01306 AU,0.7 days,0,K2-265,Transit,-1.8,27,-27,0.02,0,0.98,0.05,-0.05,04-10-2018,K2
1246,K2-266 c,252,0.29013 Earths,11.808,2018,Terrestrial,0.29013 Earths,0.705 x Earth,0.0679 AU,7.8 days,0.04,K2-266,Transit,-0.88,49,-57,0.03,0,0.7,0.02,-0.02,26-10-2018,K2
1247,K2-266 d,252,8.9 Earths,11.808,2018,Neptune-like,8.9 Earths,0.261 x Jupiter,0.1035 AU,14.7 days,0.05,K2-266,Transit,-0.67,49,-57,0.03,0,0.7,0.02,-0.02,26-10-2018,K2
1248,K2-266 e,252,14.3 Earths,11.808,2018,Neptune-like,14.3 Earths,0.244 x Jupiter,0.1249 AU,19.5 days,0.04,K2-266,Transit,-0.43,49,-57,0.03,0,0.7,0.02,-0.02,25-07-2019,K2
1249,K2-268 b,1081,2.57 Earths,13.853,2018,Super Earth,2.57 Earths,1.41 x Earth,0.0308 AU,2.2 days,0,K2-266,Transit,-0.47,49,-57,0.03,0,0.7,0.02,-0.02,25-07-2019,K2
1250,K2-268 c,1081,7.7 Earths,13.853,2018,Neptune-like,7.7 Earths,0.24 x Jupiter,0.0819 AU,9.3 days,0,K2-268,Transit,,51,-51,0.02,0,0.78,0.01,-0.01,26-10-2018,K2
1251,K2-269 b,1181,3.09 Earths,11.784,2018,Super Earth,3.09 Earths,1.57 x Earth,0.0531 AU,4.1 days,0,K2-268,Transit,,51,-51,0.02,0,0.78,0.01,-0.01,26-10-2018,K2
1252,K2-26 b,324,7.61 Earths,14.53,2016,Neptune-like,7.61 Earths,0.238 x Jupiter,0.0962 AU,14.6 days,0,K2-269,Transit,,88,-88,0.04,0,1.45,0.06,-0.06,26-10-2018,K2
1253,K2-270 b,925,2.48 Earths,13.782,2018,Super Earth,2.48 Earths,1.38 x Earth,0.0247 AU,1.5 days,0,K2-27,Transit,-0.41,60,-60,0.03,0,0.89,0.04,-0.04,09-02-2017,K2
1254,K2-270 c,925,9.01 Earths,13.782,2018,Neptune-like,9.01 Earths,0.263 x Jupiter,0.0497 AU,4.4 days,0,K2-270,Transit,,58,-58,0.02,0,0.77,0.01,-0.01,26-10-2018,K2
1255,K2-271 b,1864,0.131 Jupiters,13.827,2018,Gas Giant,0.131 Jupiters,0.649 x Jupiter,0.077 AU,8.6 days,0,K2-270,Transit,,58,-58,0.02,0,0.77,0.01,-0.01,26-10-2018,K2
1256,K2-272 b,1391,8.8 Earths,13.841,2018,Neptune-like,8.8 Earths,0.26 x Jupiter,0.1081 AU,14.5 days,0,K2-271,Transit,,71,-71,0.03,0,0.99,0.03,-0.03,26-10-2018,K2
1257,K2-273 b,1013,17.9 Earths,13.371,2018,Neptune-like,17.9 Earths,0.394 x Jupiter,0.0974 AU,11.7 days,0,K2-272,Transit,,79,-79,0.04,0,0.81,0.01,-0.01,26-10-2018,K2
1258,K2-274 b,759,5.48 Earths,13.086,2018,Neptune-like,5.48 Earths,2.2 x Earth,0.1064 AU,14.1 days,0,K2-273,Transit,,67,-67,0.03,0,0.84,0.01,-0.01,26-10-2018,K2
1259,K2-275 b,405,5.65 Earths,12.063,2018,Neptune-like,5.65 Earths,0.2 x Jupiter,0.04 AU,3.3 days,0,K2-274,Transit,,60,-60,0.02,0,0.74,0.01,-0.01,26-10-2018,K2
1260,K2-275 c,405,6.08 Earths,12.063,2018,Neptune-like,6.08 Earths,0.209 x Jupiter,0.075 AU,8.4 days,0,K2-275,Transit,,59,-59,0.02,0,0.73,0.01,-0.01,26-10-2018,K2
1261,K2-276 b,1598,13.7 Earths,14.627,2018,Neptune-like,13.7 Earths,0.336 x Jupiter,0.1291 AU,18.7 days,0,K2-275,Transit,,59,-59,0.02,0,0.73,0.01,-0.01,26-10-2018,K2
1262,K2-277 b,370,4.94 Earths,10.364,2018,Super Earth,4.94 Earths,2.07 x Earth,0.0675 AU,6.3 days,0,K2-276,Transit,,62,-62,0.02,0,0.85,0.02,-0.02,26-10-2018,K2
1263,K2-278 b,2623,9.17 Earths,13.412,2018,Neptune-like,9.17 Earths,0.266 x Jupiter,0.0488 AU,3.3 days,0,K2-277,Transit,,65,-65,0.03,0,0.97,0.02,-0.02,26-10-2018,K2
1264,K2-279 b,600,1.92 Earths,11.491,2018,Super Earth,1.92 Earths,1.21 x Earth,0.067 AU,7.1 days,0,K2-278,Transit,,383,-383,0.08,0,1.61,0.05,-0.05,26-10-2018,K2
1265,K2-27 b,820,30.9 Earths,12.64,2016,Neptune-like,30.9 Earths,0.4 x Jupiter,0.06702 AU,6.8 days,0.25,K2-279,Transit,,70,-70,0.03,0,0.86,0.01,-0.01,26-10-2018,K2
1266,K2-280 b,1295,0.144 Jupiters,12.536,2018,Gas Giant,0.144 Jupiters,0.684 x Jupiter,0.1488 AU,19.9 days,0,K2-28,Transit,,60,-60,0.05,0,0.29,0.03,-0.03,25-02-2016,K2
1267,K2-281 b,1520,0.16 Jupiters,15.117,2018,Gas Giant,0.16 Jupiters,0.73 x Jupiter,0.0773 AU,8.7 days,0,K2-280,Transit,,90,-90,0.04,0,1.28,0.03,-0.03,26-10-2018,K2
1268,K2-282 b,1638,8.35 Earths,14.042,2018,Neptune-like,8.35 Earths,0.252 x Jupiter,0.0499 AU,4.2 days,0,K2-281,Transit,,72,-72,0.03,0,0.76,0.01,-0.01,26-10-2018,K2
1269,K2-283 b,1332,12.2 Earths,14.445,2018,Neptune-like,12.2 Earths,0.314 x Jupiter,0.0291 AU,1.9 days,0,K2-282,Transit,,,,0.04,0,,,,26-10-2018,K2
1270,K2-284 b,351,8.15 Earths,13.322,2018,Neptune-like,8.15 Earths,0.248 x Jupiter,0.04771 AU,4.8 days,0.08,K2-283,Transit,,70,-70,0.03,0,0.82,0.01,-0.01,26-10-2018,K2
1271,K2-285 b,508,9.68 Earths,12.03,2018,Super Earth,9.68 Earths,0.231 x Jupiter,0.03817 AU,3.5 days,0,K2-284,Transit,,50,-50,0.01,0,0.61,0.02,-0.02,15-11-2018,K2
1272,K2-285 c,508,15.68 Earths,12.03,2018,Neptune-like,15.68 Earths,0.315 x Jupiter,0.0824 AU,7.1 days,0,K2-285,Transit,-0.45,95,-95,0.02,0,0.79,0.02,-0.02,13-12-2018,K2
1273,K2-285 d,508,6.5 Earths,12.03,2018,Neptune-like,6.5 Earths,0.221 x Jupiter,0.1178 AU,10.5 days,0,K2-285,Transit,-0.28,95,-95,0.02,0,0.79,0.02,-0.02,13-12-2018,K2
1274,K2-285 e,508,10.7 Earths,12.03,2018,Neptune-like,10.7 Earths,1.95 x Earth,0.18041 AU,14.8 days,0,K2-285,Transit,,95,-95,0.02,0,0.79,0.02,-0.02,13-12-2018,K2
1275,K2-286 b,249,5.06 Earths,12.763,2018,Neptune-like,5.06 Earths,2.1 x Earth,0.1768 AU,27.4 days,0,K2-285,Transit,,95,-95,0.02,0,0.79,0.02,-0.02,13-12-2018,K2
1276,K2-287 b,519,0.315 Jupiters,11.41,2018,Gas Giant,0.315 Jupiters,0.847 x Jupiter,0.1206 AU,14.9 days,0.48,K2-286,Transit,,100,-100,0.02,0,0.62,0.02,-0.02,10-01-2019,K2
1277,K2-288 B b,214,4.27 Earths,13.868,2018,Super Earth,4.27 Earths,1.9 x Earth,0.164 AU,31.4 days,0,K2-287,Transit,,58,-58,0.02,0,1.07,0.01,-0.01,10-01-2019,K2
1278,K2-289 b,883,0.192 Jupiters,14.465,2019,Gas Giant,0.192 Jupiters,0.812 x Jupiter,0.107 AU,13.2 days,0,K2-288 B,Transit,,276,-276,0.02,0,0.32,0.03,-0.03,10-01-2019,K2
1279,K2-28 b,206,5.99 Earths,16.061,2016,Neptune-like,5.99 Earths,0.207 x Jupiter,0.0214 AU,2.3 days,0,K2-289,Transit,,77,-74,0.04,0,1.02,0.03,-0.03,31-01-2019,K2
1280,K2-290 b,897,10.9 Earths,11.114,2019,Super Earth,10.9 Earths,0.273 x Jupiter,0.0923 AU,9.2 days,0,K2-29,Transit,-0.04,38,-38,0.02,0,0.86,0.01,-0.01,24-03-2016,K2
1281,K2-290 c,897,0.774 Jupiters,11.114,2019,Gas Giant,0.774 Jupiters,1.006 x Jupiter,0.305 AU,48.4 days,0,K2-290,Transit,,120,-120,0.07,0,1.51,0.07,-0.07,24-01-2019,K2
1282,K2-291 b,295,6.49 Earths,10.014,2019,Super Earth,6.49 Earths,1.589 x Earth,0.03261 AU,2.2 days,0,K2-290,Transit,-0.16,120,-120,0.07,0,1.51,0.07,-0.07,24-01-2019,K2
1283,K2-292 b,373,24.5 Earths,9.917,2019,Neptune-like,24.5 Earths,0.235 x Jupiter,0.13 AU,17 days,0.04,K2-291,Transit,-2.03,60,-60,0.04,0,0.9,0.04,-0.03,24-01-2019,K2
1284,K2-293 b,1294,6.57 Earths,13.357,2019,Neptune-like,6.57 Earths,0.219 x Jupiter,Unknown,13.1 days,0,K2-292,Transit,-1.5,65,-65,0.03,0,1.09,0.03,-0.03,07-02-2019,K2
1285,K2-294 b,1230,3.39 Earths,12.502,2019,Super Earth,3.39 Earths,1.66 x Earth,Unknown,2.5 days,0,K2-293,Transit,,78,-78,0.04,0,0.95,0.09,-0.06,04-04-2019,K2
1286,K2-295 b,736,0.335 Jupiters,13.946,2018,Gas Giant,0.335 Jupiters,0.897 x Jupiter,0.0451 AU,4 days,0,K2-294,Transit,,50,-50,0.03,0,1.2,0.13,-0.12,04-04-2019,K2
1287,K2-29 b,585,0.73 Jupiters,12.526,2016,Gas Giant,0.73 Jupiters,1.19 x Jupiter,0.04217 AU,3.3 days,0.07,K2-295,Transit,-0.115,70,-70,0.04,0,0.7,0.02,-0.02,23-05-2019,K2
1288,K2-308 b,,0.222 Jupiters,14.963,2019,Gas Giant,0.222 Jupiters,0.884 x Jupiter,Unknown,3.4 days,0,K2-3,Transit,-1.08,189,-189,0.09,0,0.56,0.07,-0.07,07-05-2020,K2
